Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Pathology prognostics - Breast cancer"	"Pathology prognostics - Cervical cancer"	"Pathology prognostics - Colorectal cancer"	"Pathology prognostics - Endometrial cancer"	"Pathology prognostics - Glioma"	"Pathology prognostics - Head and neck cancer"	"Pathology prognostics - Liver cancer"	"Pathology prognostics - Lung cancer"	"Pathology prognostics - Melanoma"	"Pathology prognostics - Ovarian cancer"	"Pathology prognostics - Pancreatic cancer"	"Pathology prognostics - Prostate cancer"	"Pathology prognostics - Renal cancer"	"Pathology prognostics - Stomach cancer"	"Pathology prognostics - Testis cancer"	"Pathology prognostics - Thyroid cancer"	"Pathology prognostics - Urothelial cancer"
SET	"2PP2A, IGAAD, IPP2A2, PHAPII, TAF-I, TAF-IBETA"	ENSG00000119335	"SET nuclear proto-oncogene"	Q01105	9	128683424-128696400	"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction"	"Chaperone, DNA-binding"	"Cancer-related genes, Disease variant, Intellectual disability, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"								"Not detected"	"Not detected"			"CAB005232, HPA063683"	Supported		Enhanced	"Nucleoplasm,Lipid droplets"			NA	NA		880000	"Cluster 23: B-cells - Immunoglobulins"	"Cluster 71: Thymus - Adaptive immune response"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 43: Non-specific - Basic cellular processes"	"Cluster 39: Non-specific - Basic cellular processes"	13	Nucleoplasm	"Lipid droplets"	"CAB005232: AB_2185634, HPA063683: AB_2685088"	"unprognostic (1.92e-1)"	"unprognostic (2.22e-1)"	"unprognostic (2.31e-1)"	"unprognostic (3.77e-1)"	"unprognostic (7.15e-2)"	"unprognostic (4.37e-3)"	"prognostic unfavorable (9.41e-7)"	"unprognostic (2.00e-2)"	"unprognostic (1.88e-2)"	"unprognostic (3.62e-1)"	"unprognostic (3.78e-2)"	"unprognostic (3.27e-2)"	"unprognostic (1.29e-1)"	"unprognostic (7.57e-2)"	"unprognostic (1.91e-1)"	"unprognostic (2.09e-1)"	"unprognostic (1.54e-2)"
SETDB1	"ESET, KG1T, KIAA0067, KMT1E, TDRD21"	ENSG00000143379	"SET domain bifurcated histone lysine methyltransferase 1"	Q15047	1	150926263-150964744	"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Transcription, Transcription regulation"	"Chromatin regulator, Methyltransferase, Repressor, Transferase"	"Cancer-related genes"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA018142, HPA058484"	Uncertain		Supported	Nucleoplasm,Vesicles			Yes	No			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 16: Non-specific - Transcription"	"Cluster 16: Non-specific - Transcription"	"Cluster 45: Non-specific - Nuclear processes"	"Cluster 49: Non-specific - Transcription"	12	Nucleoplasm	Vesicles	"HPA018142: AB_1856757, HPA058484: AB_2683731"	"unprognostic (1.07e-1)"	"unprognostic (4.08e-1)"	"unprognostic (8.02e-2)"	"unprognostic (2.24e-3)"	"unprognostic (1.65e-2)"	"unprognostic (9.57e-2)"	"prognostic unfavorable (8.88e-4)"	"unprognostic (6.03e-2)"	"unprognostic (9.94e-3)"	"unprognostic (7.13e-2)"	"unprognostic (1.21e-1)"	"unprognostic (6.65e-2)"	"prognostic unfavorable (4.25e-4)"	"unprognostic (1.59e-1)"	"unprognostic (3.93e-2)"	"unprognostic (3.14e-2)"	"unprognostic (1.14e-1)"
SETSIP	SETP18	ENSG00000230667	"SET like protein"	P0DME0	1	92074533-92075411	"Predicted intracellular proteins"	"Differentiation, Transcription, Transcription regulation"	Activator		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Not detected"	"Not detected"			"Cell type enriched"	"Detected in single"	4	"Early spermatids: 2.3"	"Low cancer specificity"	"Detected in single"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in all"							HPA063683	Approved		Supported	"Nucleoplasm,Lipid droplets"			NA	NA					"Cluster 9: Non-specific - Receptor signaling"		"Cluster 18: Early spermatids - Unknown function"		Nucleoplasm	"Lipid droplets"	"HPA063683: AB_2685088"	"unprognostic (2.31e-2)"	"unprognostic (3.79e-3)"	"unprognostic (7.59e-2)"	"unprognostic (5.74e-2)"	"unprognostic (5.60e-2)"	"unprognostic (7.74e-2)"	"unprognostic (1.88e-8)"	"unprognostic (3.43e-1)"	"unprognostic (1.65e-2)"	"unprognostic (9.37e-2)"	"unprognostic (4.35e-4)"	"unprognostic (1.63e-2)"	"unprognostic (2.58e-1)"	"unprognostic (3.10e-2)"	"unprognostic (4.93e-2)"	"unprognostic (2.15e-2)"	"unprognostic (1.74e-1)"
SF3A1	"Prp21, PRPF21, SAP114, SF3a120"	ENSG00000099995	"Splicing factor 3a subunit 1"	Q15459	22	30331988-30356919	"Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Testis - Late spermatids, Thyroid - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA000690, HPA030083"	Enhanced		Enhanced	"Nucleoplasm,Nuclear speckles"			NA	NA		87000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 4: Testis - Basic cellular processes"	"Cluster 16: Non-specific - Transcription"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 49: Non-specific - Transcription"	7	"Nucleoplasm, Nuclear speckles"		"HPA000690: AB_1079933, HPA030083: AB_10602183"	"unprognostic (8.61e-2)"	"unprognostic (1.60e-1)"	"unprognostic (3.21e-2)"	"unprognostic (7.54e-2)"	"unprognostic (5.06e-3)"	"unprognostic (1.79e-1)"	"unprognostic (5.54e-3)"	"unprognostic (3.30e-1)"	"unprognostic (3.83e-1)"	"unprognostic (2.59e-1)"	"unprognostic (2.58e-1)"	"unprognostic (3.26e-1)"	"prognostic favorable (1.16e-4)"	"unprognostic (2.25e-1)"	"unprognostic (1.00e-1)"	"unprognostic (6.97e-2)"	"unprognostic (1.13e-1)"
SF3A2	"Prp11, PRPF11, SAP62, SF3a66"	ENSG00000104897	"Splicing factor 3a subunit 2"	Q15428	19	2236824-2248655	"Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA042843, HPA049439"	Enhanced		Approved	Nucleoplasm			NA	NA		43000	"Cluster 45: Eosinophils - Unknown function"	"Cluster 66: Non-specific - Transcription"	"Cluster 16: Non-specific - Transcription"	"Cluster 23: Non-specific - Transcription"	"Cluster 49: Non-specific - Transcription"	20	Nucleoplasm		"HPA042843: AB_2678199, HPA049439: AB_2680766"	"unprognostic (5.29e-2)"	"prognostic favorable (7.16e-4)"	"prognostic unfavorable (8.64e-4)"	"unprognostic (3.09e-3)"	"unprognostic (9.19e-2)"	"unprognostic (7.98e-2)"	"prognostic unfavorable (3.23e-5)"	"unprognostic (1.85e-1)"	"unprognostic (1.56e-1)"	"unprognostic (1.71e-1)"	"unprognostic (5.72e-3)"	"unprognostic (7.94e-2)"	"prognostic unfavorable (2.07e-4)"	"unprognostic (4.09e-3)"	"unprognostic (5.38e-2)"	"unprognostic (2.85e-1)"	"unprognostic (8.73e-2)"
SF3B2	"Cus1, SAP145, SF3b1, SF3b145"	ENSG00000087365	"Splicing factor 3b subunit 2"	Q13435	11	66050729-66069308	"Disease related genes, Plasma proteins, Predicted intracellular proteins"	"Host-virus interaction, mRNA processing, mRNA splicing"		"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA045028	Supported		Enhanced	"Nuclear speckles"			NA	NA		130000	"Cluster 36: Eosinophils - Protein ubiquitination"	"Cluster 49: Pituitary gland - Hormone signaling"	"Cluster 11: White matter - Signal transduction"	"Cluster 24: Non-specific - Unknown function"	"Cluster 15: Non-specific - Mixed function"	17	"Nuclear speckles"		"HPA045028: AB_10965174"	"unprognostic (1.48e-1)"	"unprognostic (1.51e-1)"	"unprognostic (6.45e-2)"	"unprognostic (3.29e-1)"	"unprognostic (9.86e-2)"	"unprognostic (7.10e-2)"	"prognostic unfavorable (6.43e-5)"	"unprognostic (8.43e-2)"	"unprognostic (4.69e-1)"	"unprognostic (2.79e-1)"	"unprognostic (3.15e-2)"	"unprognostic (1.44e-1)"	"prognostic favorable (3.51e-5)"	"unprognostic (4.03e-2)"	"unprognostic (3.56e-1)"	"unprognostic (5.14e-2)"	"unprognostic (2.60e-2)"
SF3B3	"KIAA0017, RSE1, SAP130, SF3b130"	ENSG00000189091	"Splicing factor 3b subunit 3"	Q15393	16	70523791-70577670	"Plasma proteins, Predicted intracellular proteins"	"mRNA processing, mRNA splicing"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA041134, HPA042986"	Supported		Supported	"Nucleoplasm,Nucleoli,Nucleoli rim"			No	No		50000	"Cluster 12: Non-specific - Mitochondrial translation"	"Cluster 16: Non-specific - Transcription"	"Cluster 31: Non-specific - Transcription"	"Cluster 68: Non-specific - Cell cycle regulation"	"Cluster 59: Suprabasal keratinocytes - Cornification"	9	"Nucleoplasm, Nucleoli, Nucleoli rim"		"HPA041134: AB_2677317, HPA042986: AB_10960386"	"unprognostic (3.39e-2)"	"unprognostic (1.53e-1)"	"unprognostic (7.47e-2)"	"unprognostic (1.87e-1)"	"unprognostic (2.05e-2)"	"unprognostic (3.59e-2)"	"unprognostic (1.06e-2)"	"unprognostic (7.67e-2)"	"unprognostic (2.07e-1)"	"unprognostic (2.29e-1)"	"unprognostic (6.97e-2)"	"unprognostic (2.29e-1)"	"unprognostic (3.28e-2)"	"unprognostic (1.60e-1)"	"unprognostic (8.76e-2)"	"unprognostic (7.91e-2)"	"unprognostic (1.73e-1)"
SH2D3A	NSP1	ENSG00000125731	"SH2 domain containing 3A"	Q9BRG2	19	6752160-6767463	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 31.6"	"Cell type enhanced"	"Detected in many"		"Extravillous trophoblasts: 62.7;Ionocytes: 65.9;Paneth cells: 67.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Prostate - Prostate basal glandular cells, Stomach - Gastric mucous cells"					"Not detected"	"Not detected"			"HPA035722, HPA064382"	Uncertain		Approved	"Nucleoplasm,Microtubules,Cytokinetic bridge"			Yes	NA			"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 6: Non-specific - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 45: Non-specific - Mixed function"	1	Microtubules	"Nucleoplasm, Cytokinetic bridge"	"HPA035722: AB_10670024, HPA064382: AB_2685251"	"unprognostic (3.32e-2)"	"unprognostic (5.48e-2)"	"unprognostic (1.82e-2)"	"unprognostic (1.39e-1)"	"unprognostic (1.84e-1)"	"unprognostic (1.09e-1)"	"unprognostic (3.96e-1)"	"unprognostic (2.60e-3)"	"unprognostic (3.63e-1)"	"unprognostic (8.41e-2)"	"unprognostic (6.48e-3)"	"prognostic unfavorable (6.21e-4)"	"prognostic favorable (1.42e-4)"	"unprognostic (7.31e-2)"	"unprognostic (1.74e-1)"	"unprognostic (1.32e-3)"	"unprognostic (1.81e-3)"
SH3BP1	ARHGAP43	ENSG00000100092	"SH3 domain binding protein 1"	Q9Y3L3	22	37634654-37656117	"Metabolic proteins, Predicted intracellular proteins"	Phagocytosis	"GTPase activation"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 36.7"	"Cell type enhanced"	"Detected in many"		"Distal enterocytes: 59.8;Hofbauer cells: 56.5"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (other), Thyroid - T-cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in many"			HPA000757	Supported		Supported	Cytosol			NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 75: Epithelium - Extracellular exosomes"	"Cluster 6: Non-specific - Immune response"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 7: T-cells - T-cell receptor"	4	Cytosol		"HPA000757: AB_1079951"	"unprognostic (7.81e-3)"	"unprognostic (7.91e-3)"	"unprognostic (3.42e-1)"	"unprognostic (2.62e-2)"	"unprognostic (5.38e-2)"	"unprognostic (2.40e-1)"	"prognostic unfavorable (9.55e-4)"	"unprognostic (1.39e-1)"	"unprognostic (3.08e-1)"	"unprognostic (1.89e-1)"	"unprognostic (2.59e-2)"	"unprognostic (4.78e-1)"	"prognostic unfavorable (3.48e-7)"	"prognostic favorable (3.39e-4)"	"unprognostic (1.74e-1)"	"unprognostic (5.37e-2)"	"unprognostic (8.48e-3)"
SH3D21	"C1orf113, FLJ22938"	ENSG00000214193	"SH3 domain containing 21"	A4FU49	1	36306368-36329340	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 20.3;thyroid gland: 26.9"	"Cell type enhanced"	"Detected in many"		"Horizontal cells: 24.5;Late spermatids: 51.9;Proximal enterocytes: 23.4"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Breast - Breast glandular cells, Skin - Outer root sheath cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA042212, HPA042456, HPA066168"	Approved		Approved	"Nucleoplasm,Plasma membrane"			NA	NA				"Cluster 45: Intestine - Digestion"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 63: Late spermatids - Spermatogenesis"	1	"Nucleoplasm, Plasma membrane"		"HPA042212: AB_10961180, HPA042456: AB_10959746, HPA066168: AB_2685627"	"prognostic favorable (2.60e-4)"	"unprognostic (8.35e-3)"	"unprognostic (3.86e-3)"	"unprognostic (9.01e-2)"	"unprognostic (2.07e-3)"	"unprognostic (7.32e-3)"	"unprognostic (2.04e-4)"	"unprognostic (7.47e-2)"	"unprognostic (3.47e-2)"	"unprognostic (1.01e-1)"	"unprognostic (2.43e-2)"	"unprognostic (7.38e-3)"	"prognostic unfavorable (1.76e-6)"	"unprognostic (8.88e-2)"	"unprognostic (2.25e-1)"	"unprognostic (7.99e-2)"	"unprognostic (8.59e-2)"
SH3RF1	"KIAA1494, POSH, RNF142, SH3MD2"	ENSG00000154447	"SH3 domain containing ring finger 1"	Q7Z6J0	4	169094259-169270956	"Enzymes, Metabolic proteins, Predicted intracellular proteins"	"Host-virus interaction, Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 138.7;Oligodendrocytes: 198.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in some"	4	"intermediate monocyte: 4.2;myeloid DC: 2.5;non-classical monocyte: 6.8"	"Group enriched"	"Detected in many"	15	"dendritic cells: 2.5;monocytes: 6.8"	"Low cancer specificity"	"Detected in all"			"Lung - Alveolar cells type 1"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA074783	Approved		Supported	"Vesicles,Intermediate filaments"			No	No			"Cluster 40: Monocytes - Innate immune response"	"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 29: Forebrain - Mixed function"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 51: Oligodendrocytes - Unknown function"	2	Vesicles	"Intermediate filaments"	"HPA074783: AB_2732268"	"unprognostic (4.14e-1)"	"unprognostic (4.67e-2)"	"unprognostic (1.23e-1)"	"unprognostic (7.83e-2)"	"unprognostic (1.02e-1)"	"unprognostic (1.30e-2)"	"unprognostic (1.29e-1)"	"unprognostic (2.65e-1)"	"unprognostic (8.44e-2)"	"unprognostic (9.58e-2)"	"unprognostic (4.77e-3)"	"unprognostic (7.88e-2)"	"prognostic favorable (5.51e-8)"	"unprognostic (4.43e-2)"	"unprognostic (1.63e-1)"	"unprognostic (5.99e-2)"	"unprognostic (1.77e-1)"
SHMT2	"mSHMT, SHMT"	ENSG00000182199	"Serine hydroxymethyltransferase 2"	P34897	12	57229573-57234935	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"	"One-carbon metabolism"	Transferase	"Cardiomyopathy, Disease variant, Intellectual disability"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 177.8"	"Cell type enhanced"	"Detected in many"		"Hepatocytes: 163.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Colon - Macrophages"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA020543, HPA020549"	Enhanced		Supported	Microtubules,Mitochondria			NA	NA		390000	"Cluster 14: Non-specific - Unknown function"	"Cluster 83: Liver - Metabolism"	"Cluster 27: Non-specific - Mixed function"	"Cluster 13: Non-specific - Mixed function"	"Cluster 61: Plasma cells - Immunoglobulins & histones"	10	Mitochondria	Microtubules	"HPA020543: AB_1856833, HPA020549: AB_1856834"	"prognostic unfavorable (8.37e-5)"	"unprognostic (1.24e-1)"	"unprognostic (1.90e-1)"	"unprognostic (2.65e-2)"	"unprognostic (1.65e-1)"	"unprognostic (4.97e-2)"	"unprognostic (1.58e-2)"	"unprognostic (9.83e-2)"	"unprognostic (1.11e-2)"	"unprognostic (2.67e-2)"	"unprognostic (4.00e-2)"	"unprognostic (3.19e-2)"	"prognostic unfavorable (4.84e-8)"	"unprognostic (3.05e-1)"	"unprognostic (2.30e-1)"	"unprognostic (2.72e-1)"	"unprognostic (4.74e-2)"
SHROOM2	APXL	ENSG00000146950	"Shroom family member 2"	Q13796	X	9786429-9949443	"Plasma proteins, Predicted intracellular proteins"		"Actin-binding, Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 20.2"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 25.1;Cone photoreceptor cells: 28.9;Microglial cells: 23.3;Peritubular cells: 84.4"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"testis cancer: 17.1"	"Prostate - Prostate glandular cells, Skeletal muscle - Endothelial cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA051646, HPA061435"	Approved		Approved	"Plasma membrane,Cell Junctions,Cytosol"			No	No				"Cluster 76: Retina - Visual perception"	"Cluster 53: Neurons - Mixed function"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 66: Photoreceptor cells - Visual perception"		"Plasma membrane, Cell Junctions"	Cytosol	"HPA051646: AB_2681562, HPA061435: AB_2732663"	"unprognostic (8.65e-3)"	"unprognostic (1.36e-3)"	"unprognostic (4.68e-2)"	"unprognostic (4.06e-2)"	"unprognostic (6.99e-3)"	"unprognostic (8.05e-2)"	"unprognostic (9.96e-2)"	"unprognostic (1.28e-1)"	"unprognostic (2.51e-1)"	"unprognostic (6.54e-2)"	"unprognostic (2.82e-2)"	"unprognostic (9.73e-2)"	"prognostic favorable (1.35e-7)"	"unprognostic (1.56e-1)"	"unprognostic (3.34e-1)"	"unprognostic (1.93e-1)"	"unprognostic (7.67e-3)"
