riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs7608910-?	4E-23	-	NR	-	-	-	PUS10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	2:60977721	28067908	"de Lange KM"
rs4409764-?	2E-21	-	NR	-	-	-	LINC01475,GOT1-DT	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	10:99524480	28067908	"de Lange KM"
rs4380874-?	9E-21	-	NR	-	-	-	PIGCP2,DLD	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	7:107839870	28067908	"de Lange KM"
rs3197999-?	8E-20	-	NR	-	-	-	MST1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	3:49684099	28067908	"de Lange KM"
rs75900472-?	1E-19	-	NR	-	-	-	HNRNPA1P41,JAK2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	9:4981601	28067908	"de Lange KM"
rs1801274-?	2E-18	-	NR	-	-	-	FCGR2A	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:161509955	28067908	"de Lange KM"
rs4676408-?	1E-17	-	NR	-	-	-	AQP12B,GPR35	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	2:240634984	28067908	"de Lange KM"
rs6062496-?	9E-17	-	NR	-	-	-	RTEL1-TNFRSF6B,TNFRSF6B	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	20:63697746	28067908	"de Lange KM"
rs12946510-?	2E-16	-	NR	-	-	-	IKZF3,GRB7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	17:39756124	28067908	"de Lange KM"
rs10781499-?	2E-16	-	NR	-	-	-	CARD9	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	9:136371953	28067908	"de Lange KM"
rs7554511-?	4E-16	-	NR	-	-	-	INAVA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:200908434	28067908	"de Lange KM"
rs10761659-?	1E-15	-	NR	-	-	-	LINC02929,ALDH7A1P4	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	10:62685804	28067908	"de Lange KM"
rs12568930-?	2E-15	-	NR	-	-	-	PPIAP34,ZBTB40	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:22375738	28067908	"de Lange KM"
rs6920220-?	3E-15	-	NR	-	-	-	LINC03004	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	6:137685367	28067908	"de Lange KM"
rs11236797-?	5E-15	-	NR	-	-	-	EMSY,LINC02757	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	11:76588605	28067908	"de Lange KM"
rs17085007-?	1E-14	-	NR	-	-	-	RPS21P8,FGFR1OP2P1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	13:26957130	28067908	"de Lange KM"
rs2823286-?	2E-13	-	NR	-	-	-	CYCSP42,LINC02920	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	21:15445619	28067908	"de Lange KM"
rs2816958-?	2E-13	-	NR	-	-	-	NR5A2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:200132792	28067908	"de Lange KM"
rs78534766-?	3E-13	-	NR	-	-	-	ADCY7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	16:50301163	28067908	"de Lange KM"
rs7282490-?	5E-13	-	NR	-	-	-	GATD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	21:44195858	28067908	"de Lange KM"
rs4845604-?	2E-11	-	NR	-	-	-	RORC	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:151829204	28067908	"de Lange KM"
rs798502-?	4E-11	-	NR	-	-	-	AMZ1,GNA12	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	7:2750246	28067908	"de Lange KM"
rs12942547-?	1E-10	-	NR	-	-	-	STAT3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	17:42375526	28067908	"de Lange KM"
rs10797432-?	1E-10	-	NR	-	-	-	TNFRSF14,PRXL2B	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:2569899	28067908	"de Lange KM"
rs5771069-?	2E-10	-	NR	-	-	-	IL17REL	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	22:49997051	28067908	"de Lange KM"
rs16940202-?	3E-10	-	NR	-	-	-	LINC01082,LINC02132	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	16:85980635	28067908	"de Lange KM"
rs2413583-?	3E-10	-	NR	-	-	-	PDGFB,RPL3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	22:39263768	28067908	"de Lange KM"
rs4728142-?	3E-10	-	NR	-	-	-	KCP,IRF5	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	7:128933913	28067908	"de Lange KM"
rs17780256-?	4E-10	-	NR	-	-	-	SLC39A11	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	17:72646784	28067908	"de Lange KM"
rs3851228-?	6E-10	-	NR	-	-	-	TRAF3IP2-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	6:111526988	28067908	"de Lange KM"
rs200349593-?	2E-9	-	NR	-	-	-	NXPE1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	11:114526441	28067908	"de Lange KM"
rs3766606-?	4E-9	-	NR	-	-	-	PARK7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	1:7962137	28067908	"de Lange KM"
rs17694108-?	1E-8	-	NR	-	-	-	CEBPA,SLC7A10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	19:33240645	28067908	"de Lange KM"
rs17293632-?	2E-8	-	NR	-	-	-	SMAD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	15:67150258	28067908	"de Lange KM"
rs254560-?	3E-8	-	NR	-	-	-	PITX1-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	5:135107916	28067908	"de Lange KM"
rs1728785-?	4E-8	-	NR	-	-	-	ZFP90	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	16:68557327	28067908	"de Lange KM"
rs4976646-?	4E-8	-	NR	-	-	-	RGS14	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	5:177361569	28067908	"de Lange KM"
rs11548656-?	8E-8	-	NR	-	-	-	PLCG2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	16:81883307	28067908	"de Lange KM"
rs11672983-?	1E-7	-	NR	-	-	-	RNU6-222P,FCAR	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	19:54871595	28067908	"de Lange KM"
rs907611-?	1E-7	-	NR	-	-	-	LSP1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	11:1852842	28067908	"de Lange KM"
rs4957048-?	2E-7	-	NR	-	-	-	CEP72-DT,MIR4456	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	5:583327	28067908	"de Lange KM"
rs7404095-?	2E-7	-	NR	-	-	-	PRKCB	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	16:23853269	28067908	"de Lange KM"
rs11742570-?	3E-7	-	NR	-	-	-	RNU1-150P,TTC33	"Ulcerative colitis"	"ulcerative colitis"	-	GCST004133	5:40410482	28067908	"de Lange KM"
rs74365910-A	9E-10	-	0.009189	-	"0.97 unit increase"	[0.66-1.28]	PSMB8,TAP2	"Ulcerative colitis (PheCode 555.2)"	"ulcerative colitis"	-	GCST90044155	6:32838776	34737426	"Jiang L"
rs2655211-G	7E-6	-	NR	1.6155089	-	[1.31-1.99]	PRR3P1,NUP210	"Ulcerative colitis"	"ulcerative colitis"	-	GCST008732	3:13451731	26278503	"Huang C"
rs9271366-A	7E-6	-	NR	1.627	-	[1.315-2.013]	HLA-DQA1,HLA-DRB1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST008732	6:32619077	26278503	"Huang C"
rs3806308-G	3E-8	-	NR	1.15	-	-	RNF186-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	1:19816373	20228799	"McGovern DP"
rs1992950-A	5E-6	-	NR	1.25	-	-	SATB2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	2:199425636	20228799	"McGovern DP"
rs2395185-G	9E-23	-	NR	1.49	-	[NR]	HLA-DRB9	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	6:32465390	20228799	"McGovern DP"
rs2836878-G	1E-8	-	NR	1.27	-	[NR]	LINC02940,RPL23AP12	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	21:39093608	20228799	"McGovern DP"
rs4781011-T	3E-6	-	NR	1.15	-	[NR]	CIITA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	16:10881454	20228799	"McGovern DP"
rs10758669-C	1E-6	-	NR	1.16	-	[NR]	HNRNPA1P41,JAK2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	9:4981602	20228799	"McGovern DP"
rs10800309-A	3E-9	-	NR	1.23	-	[NR]	RNU6-481P,FCGR2A	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	1:161502368	20228799	"McGovern DP"
rs11190140-T	1E-8	-	NR	1.23	-	[NR]	NKX2-3,LINC01475	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	10:99531836	20228799	"McGovern DP"
rs11584383-C	2E-7	-	NR	1.11	-	[NR]	KIF21B,MROH3P	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	1:200966738	20228799	"McGovern DP"
rs13003464-G	7E-9	-	NR	1.18	-	[NR]	PUS10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	2:60959694	20228799	"McGovern DP"
rs1317209-T	2E-10	-	NR	1.34	-	[NR]	RNF186,TMCO4	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	1:19813543	20228799	"McGovern DP"
rs1558744-A	4E-12	-	NR	1.2	-	[NR]	IFNG-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	12:68110812	20228799	"McGovern DP"
rs1736135-T	2E-7	-	NR	1.06	-	[NR]	CYCSP42,LINC02920	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	21:15432901	20228799	"McGovern DP"
rs2201841-C	1E-13	-	NR	1.16	-	[NR]	C1orf141,IL23R	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	1:67228519	20228799	"McGovern DP"
rs2305480-T	3E-8	-	NR	1.25	-	[NR]	GSDMB	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	17:39905943	20228799	"McGovern DP"
rs3024505-T	1E-8	-	NR	1.28	-	[NR]	Y_RNA,IL10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	1:206766559	20228799	"McGovern DP"
rs3197999-T	4E-9	-	NR	1.21	-	[NR]	MST1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	3:49684099	20228799	"McGovern DP"
rs4077515-A	5E-8	-	NR	1.22	-	[NR]	CARD9	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	9:136372044	20228799	"McGovern DP"
rs4598195-A	8E-8	-	NR	1.11	-	[NR]	PIGCP2,DLD	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	7:107862996	20228799	"McGovern DP"
rs4957048-C	1E-9	-	NR	1.11	-	[NR]	CEP72-DT,MIR4456	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	5:583327	20228799	"McGovern DP"
rs6426833-A	2E-21	-	NR	1.3	-	[NR]	RNF186-AS1,OTUD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST000624	1:19845367	20228799	"McGovern DP"
rs2858829-?	8E-10	-	NR	1.12	-	[1.08-1.16]	CBX3P9,DSE	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	6:116447754	25082827	"Julià A"
rs2642575-?	5E-6	"(Southern European)"	NR	1.11	-	[NR]	COL13A1,RPL5P26	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	10:69783412	25082827	"Julià A"
rs8179646-T	6E-6	"(Southern European)"	0.38	1.17	-	[1.03-1.34]	RPLP0P7,LINC01958	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	2:156742166	25082827	"Julià A"
rs11133504-?	1E-7	"(Southern European)"	0.86	1.33	-	[1.14-1.59]	LINC02380,SRIP1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	4:57514156	25082827	"Julià A"
rs4725479-?	5E-7	"(Southern European)"	0.66	1.19	-	[1.04-1.35]	ACTR3B,LINC01287	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	7:153048725	25082827	"Julià A"
rs4246949-?	7E-6	"(Southern European)"	0.77	1.22	-	[1.05-1.41]	CPXM2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	10:123757564	25082827	"Julià A"
rs11679592-C	9E-6	"(Southern European)"	0.48	1.16	-	[1.03-1.31]	MYT1L,LINC01250	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	2:2402716	25082827	"Julià A"
rs7554511-?	5E-6	"(Southern European)"	NR	1.41	-	[1.22-1.64]	INAVA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	1:200908434	25082827	"Julià A"
rs3197999-?	8E-7	"(Southern European)"	NR	1.38	-	[1.21-1.56]	MST1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST002548	3:49684099	25082827	"Julià A"
rs17229285-C	2E-13	-	0.496	1.117	-	[1.079-1.157]	PLCL1,RNU7-147P	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	2:198658398	23128233	"Jostins L"
rs3774959-A	4E-12	-	0.358	1.118	-	[1.077-1.159]	NFKB1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	4:102589957	23128233	"Jostins L"
rs254560-A	3E-9	-	0.397	1.056	-	[1.019-1.093]	PITX1-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	5:135107916	23128233	"Jostins L"
rs798502-A	6E-17	-	0.709	1.127	-	[1.084-1.171]	AMZ1,GNA12	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	7:2750246	23128233	"Jostins L"
rs6088765-G	2E-8	-	0.437	1.079	-	[1.041-1.117]	PROCR,MMP24OS	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	20:35211477	23128233	"Jostins L"
rs10797432-C	3E-12	-	0.522	1.078	-	[1.041-1.116]	TNFRSF14,PRXL2B	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	1:2569899	23128233	"Jostins L"
rs9847710-C	1E-8	-	0.416	1.064	-	[1.027-1.102]	SFMBT1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	3:53028645	23128233	"Jostins L"
rs11739663-T	2E-8	-	0.76	1.071	-	[1.027-1.117]	CEP72-DT,MIR4456	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	5:593968	23128233	"Jostins L"
rs6927022-A	5E-133	-	0.535	1.444	-	[1.387-1.503]	HLA-DQA1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	6:32644620	23128233	"Jostins L"
rs4722672-C	2E-8	-	0.183	1.091	-	[1.043-1.14]	HOXA13,HOXA11-AS	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	7:27192143	23128233	"Jostins L"
rs4380874-T	2E-26	-	0.405	1.137	-	[1.097-1.177]	PIGCP2,DLD	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	7:107839870	23128233	"Jostins L"
rs4728142-A	4E-14	-	0.444	1.104	-	[1.066-1.143]	KCP,IRF5	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	7:128933913	23128233	"Jostins L"
rs483905-A	1E-8	-	0.292	1.056	-	[1.017-1.096]	MAML2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	11:96290263	23128233	"Jostins L"
rs561722-C	5E-17	-	0.663	1.12	-	[1.079-1.163]	NXPE1,NXPE2P1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	11:114516108	23128233	"Jostins L"
rs28374715-A	2E-8	-	0.738	1.082	-	[1.04-1.126]	CHP1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	15:41271752	23128233	"Jostins L"
rs11150589-T	6E-10	-	0.463	1.09	-	[1.052-1.128]	Y_RNA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	16:30471173	23128233	"Jostins L"
rs1728785-C	4E-8	-	0.767	1.075	-	[1.031-1.121]	ZFP90	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	16:68557327	23128233	"Jostins L"
rs7210086-A	2E-9	-	0.797	1.111	-	[1.062-1.163]	LINC00511,SLC39A11	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	17:72645559	23128233	"Jostins L"
rs1126510-G	2E-9	-	0.363	1.075	-	[1.037-1.113]	PTGIR	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	19:46620526	23128233	"Jostins L"
rs6017342-C	1E-43	-	0.53	1.228	-	[1.185-1.273]	LINC01620	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	20:44436388	23128233	"Jostins L"
rs6426833-A	2E-68	-	0.542	1.265	-	[1.221-1.31]	RNF186-AS1,OTUD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	1:19845367	23128233	"Jostins L"
rs2816958-G	2E-17	-	0.887	1.23	-	[1.161-1.302]	NR5A2	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	1:200132792	23128233	"Jostins L"
rs1016883-G	3E-8	-	0.817	1.1	-	[1.051-1.15]	PLCL1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST001728	2:198016944	23128233	"Jostins L"
rs78534766-?	1E-14	-	NR	2.16	-	[1.77-2.62]	ADCY7	"Ulcerative colitis"	"ulcerative colitis"	-	GCST008658	16:50301163	28067910	"Luo Y"
rs147732109-A	2E-16	-	0.119268296	-	"1.256198 unit increase"	[0.96-1.56]	HLA-DRB6,HLA-DRB1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018713	6:32566804	34594039	"Sakaue S"
rs748670681-T	2E-16	-	NR	-	"0.7329 unit increase"	[0.56-0.91]	TNRC18	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	7:5397122	34594039	"Sakaue S"
rs10748781-A	5E-10	-	NR	-	"0.1237 unit decrease"	[0.085-0.163]	GOT1-DT,LINC01475	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	10:99523573	34594039	"Sakaue S"
rs528766038-T	6E-9	-	NR	-	"0.3462 unit increase"	[0.23-0.46]	SLIT1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	10:97048848	34594039	"Sakaue S"
rs7936434-C	6E-9	-	NR	-	"0.1157 unit increase"	[0.077-0.155]	EMSY,LINC02757	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	11:76582761	34594039	"Sakaue S"
rs7134599-A	4E-8	-	NR	-	"0.113 unit increase"	[0.073-0.153]	IFNG-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	12:68106295	34594039	"Sakaue S"
rs4065985-C	1E-8	-	NR	-	"0.1092 unit decrease"	[0.071-0.147]	LRRC3C,GSDMA	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	17:39945679	34594039	"Sakaue S"
rs6017342-C	7E-11	-	NR	-	"0.1285 unit increase"	[0.09-0.167]	LINC01620	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	20:44436388	34594039	"Sakaue S"
rs4817983-C	6E-14	-	NR	-	"0.1707 unit decrease"	[0.13-0.22]	RPL23AP12,LINC02940	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	21:39092998	34594039	"Sakaue S"
rs1521186-A	1E-9	-	NR	-	"0.1186 unit increase"	[0.08-0.157]	RORC	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	1:151812071	34594039	"Sakaue S"
rs1801274-G	2E-16	-	NR	-	"0.16 unit decrease"	[0.12-0.2]	FCGR2A	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	1:161509955	34594039	"Sakaue S"
rs113307843-AC	2E-9	-	NR	-	"0.1381 unit decrease"	[0.093-0.184]	MROH3P	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	1:200962620	34594039	"Sakaue S"
rs10737481-G	5E-18	-	NR	-	"0.1682 unit increase"	[0.13-0.21]	RNF186-AS1,OTUD3	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	1:19845021	34594039	"Sakaue S"
rs3024493-A	1E-11	-	NR	-	"0.1847 unit increase"	[0.13-0.24]	IL10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	1:206770623	34594039	"Sakaue S"
rs79755370-A	2E-11	-	NR	-	"0.3098 unit decrease"	[0.22-0.4]	IL23R	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	1:67234232	34594039	"Sakaue S"
rs34236350-T	2E-10	-	NR	-	"0.1485 unit increase"	[0.1-0.19]	GPR35	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	2:240628909	34594039	"Sakaue S"
rs2278300-G	1E-9	-	NR	-	"0.1252 unit increase"	[0.085-0.165]	PUS10	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	2:60948938	34594039	"Sakaue S"
rs2918392-C	1E-8	-	NR	-	"0.1169 unit increase"	[0.077-0.157]	DAP	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	5:10704685	34594039	"Sakaue S"
rs145568234-G	5E-35	-	NR	-	"1.1793 unit increase"	[0.99-1.37]	TSBP1-AS1	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	6:32279268	34594039	"Sakaue S"
rs990107-G	9E-10	-	NR	-	"0.1203 unit decrease"	[0.082-0.159]	PIGCP2,DLD	"Ulcerative colitis"	"ulcerative colitis"	-	GCST90018933	7:107836468	34594039	"Sakaue S"
rs72743477-G	8E-11	-	0.21	-	-	-	SMAD3	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	15:67171953	26301688	"Li YR"
rs6679677-A	8E-11	-	0.09	-	-	-	RSBN1,PHTF1	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	1:113761186	26301688	"Li YR"
rs34884278-C	4E-7	-	0.3	-	-	-	SLC25A38P1,AIMP1P2	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	1:172869708	26301688	"Li YR"
rs6689858-C	2E-7	-	0.29	-	-	-	CRB1	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	1:197406337	26301688	"Li YR"
rs55705316-G	1E-6	-	0.14	-	-	-	IL10,Y_RNA	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	1:206760172	26301688	"Li YR"
rs2075184-T	9E-8	-	0.23	-	-	-	SLC9A4,IL18RAP	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	2:102464132	26301688	"Li YR"
rs36001488-C	8E-11	-	0.48	-	-	-	ATG16L1	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	2:233276621	26301688	"Li YR"
rs4676410-A	2E-7	-	0.19	-	-	-	GPR35	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	2:240624322	26301688	"Li YR"
rs4625-G	8E-11	-	0.31	-	-	-	DAG1	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	3:49534707	26301688	"Li YR"
rs62324212-A	3E-8	-	0.42	-	-	-	IL21-AS1	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	4:122639784	26301688	"Li YR"
rs7725052-C	8E-11	-	0.43	-	-	-	RNU1-150P,TTC33	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	5:40487168	26301688	"Li YR"
rs7731626-A	1E-10	-	0.39	-	-	-	ANKRD55	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	5:56148856	26301688	"Li YR"
rs4869313-T	9E-8	-	0.42	-	-	-	ERAP2	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	5:96888176	26301688	"Li YR"
rs11741255-A	2E-9	-	0.42	-	-	-	IRF1,IRF1-AS1	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	5:132475490	26301688	"Li YR"
rs755374-T	2E-10	-	0.32	-	-	-	IL12B,LINC01845	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	5:159402286	26301688	"Li YR"
rs36051895-T	9E-8	-	0.29	-	-	-	JAK2,HNRNPA1P41	"Pediatric autoimmune diseases"	"autoimmune thyroid disease,systemic lupus erythematosus,type 1 diabetes mellitus,ankylosing spondylitis,psoriasis,common variable immunodeficiency,celiac disease,ulcerative colitis,Crohn's disease,autoimmune disease,juvenile idiopathic arthritis"	-	GCST003097	9:4981866	26301688	"Li YR"
